"word","polarity","strength","sense","written_form","part_of_speech","confidence","lemgram","lemgram_frequency","lemma_frequency","example"
"okär","neg",-2,"okär..1","['okär']","av","0.5","okär..av.1",6,6,"['Som', 'jag..pn.1', 'tid_efter_annan..abm.1', 'fåfäng..av.1', 'försöka..vb.1', 'at', 'ärhålla', 'betalning..nn.1', 'för..pp.1', 'långwariga', 'fordring..nn.1|fordran..nn.1', ',', 'så..ab.1', 'anhålla..vb.1', 'jag..pn.1', 'på..pp.1', 'en..al.1|den..pn.1', 'wänligaste', 'härigenom..ab.1', ',', 'den..pn.1', 'må..vb.2', 'war', 'och..kn.1', 'en..al.1', ',', 'til', 'slut..nn.1', 'af', 'denna..pn.1', 'månad..nn.1', ',', 'sig..pn.1', 'skuld..nn.1', 'inbetala..vb.1', ',', 'emedan..sn.1', 'den..pn.1', 'så..ab.1', 'okär..av.1', 'vara..vb.1', ',', 'at', 'lagligen..ab.1', 'de..pn.1', 'utsöka..vb.1', ',', 'som', 'i_annat_fall..abm.1', 'måste..vb.1', 'ske..vb.1', '.\n']"
"feberfri","pos",-2,"feberfri..1","['feberfri']","av","1.0","feberfri..av.1",346,347,"Hon var feberfri ."
"kolla","pos",2,,,"vb","0.25","kolla..vb.2",0,108637,"Hos Not Quite på bruket kan man utöver fika gott , kolla konst i galleriet , butiken , konsthallen och skulpturparken ."
"försvåra","neg",-2,"försvåra..1","['försvåra']","vb","0.5","försvåra..vb.1",15075,16117,"Vad vi önskar är att alla åtgärder vidtas som kan underlätta , inte försvåra , för dessa att följa radio- och tv-programmen ."
"osäll","neg",-2,"osäll..1","['osäll']","av","0.5","osäll..av.1",7,7,""" Den otillgängliga klippan heter egentligen Skarvsten och är ett tillhåll för storskarvar , och Albert Engström beskriver dem som underliga fåglar med något av osäll ande över sig , som själar från hedenhös , dömda till evig oro ."
"vidareutveckla","pos",2,"vidareutveckla..1","['vidareutveckla']","vb","0.75","vidareutveckla..vb.1",2898,3201,"* Potentiella bindningar eller jävsförhållanden : Författaren är delägare i ett forskningsföretag verksamt inom diagnostik , med syftet att studera och vidareutveckla immunologiska markörer för ateroskleros och hjärt-kärlsjukdom ."
"kunnig","pos",2,,,"av","0.25","kunnig..av.1",7886,8009,"Han beskriver Edelstam som såväl charmerande och karismatisk som utomordentligt kunnig diplomat ."
"djup","neg",-2,,,"av","0.25","djup..av.1",75164,90092,"- Det blir ett helt annat djup och klarhet i bilden ."
"ta sig i röven","neg",-2,"ta_sig_i_röven..1","['ta sig i röven']","vbm","0.75","ta_sig_i_röven..vbm.1",5451,"None","['han..pn.1', 'till_och_med..abm.1|till_och_med..ppm.1', 'erbjuda..vb.1', 'jag..pn.1', 'pengar..nn.1|peng..nn.1', 'för..pp.1', 'att..sn.1', 'han..pn.1', 'skola..vb.2', 'få..vb.1', 'ta_sig_i_röven..vbm.1', '.\n']"
"vörda","pos",2,"vörda..1","['vörda']","vb","1.0","vörda..vb.1",999,999,"Från konsertestraderna och i radio och tv ljuder de välkända sovjetiska sångerna och artister och sångare står upp och försäkrar att trots ett och annat misstag hade vi ett gott liv under Sovjettiden och det minnet bör vi akta och vörda ."
"lömsk","neg",-2,"lömsk..2","['lömsk']","av","0.5","lömsk..av.1",1200,1206,"Det är en lömsk skada ."
"värdig","neg",-2,"värdig..1","['värdig']","av","0.5","värdig..av.1",7313,7420,"Vanunu kidnappades i Italien av israeliska agenter och dömdes 1986 till ett 18-årigt fängelsestraff i isolering sedan han avslöjat att Israel i hemlighet skaffat sig uppemot tvåhundra kärnstridsspetsar - en kärnvapenarsenal värdig en supermakt.I dag lever han under hårda restriktioner ."
"allvarstyngd","neg",-2,"allvarstyngd..1","['allvarstyngd']","av","0.5","allvarstyngd..av.1",121,121,"Men statliga verk brukar inte skämta och tonen i brevet var sakligt allvarstyngd ."
"bakteriesmittad","neg",-2,"bakteriesmittad..1","['bakteriesmittad']","av","0.75","bakteriesmittad..av.1",3,3,"['forskare..nn.1', 'finna..vb.1', 'också..ab.1', 'att..sn.1', 'den..pn.1', 'vara..vb.1', 'mycket..ab.1', 'lätt..av.1', 'att..ie.1', '""', 'tvätta_bort..vbm.1', '""', 'bakteriesmittad..av.1', 'DNA', 'utan..pp.1', 'att..sn.1', 'den..pn.1', 'ta..vb.1', 'någon..pn.1', 'som..ab.1', 'gärna..ab.1', 'skada..nn.1', '.\n']"
"odiskad","neg",-2,"odiskad..1","['odiskad']","av","0.5","odiskad..av.1",72,73,"En odiskad kaffemugg prydd av Homer Simpson ."
"glädjelös","pos",2,"glädjelös..1","['glädjelös']","av","0.75","glädjelös..av.1",148,149,"Hon satt för sig själv , apatisk och glädjelös ."
"långrandig","neg",-2,"långrandig..1","['långrandig']","av","0.5","långrandig..av.1",319,319,"Analysen av Trollkarlen från Oz , som tyvärr inleder samlingen , är bedövande tråkig och långrandig , men när Rushdie tar sig an samtida indisk romankonst , eller romankonsten hos Italo Calvino , eller Gandhis personlighet , eller snart sagt vilket seriöst ämne som helst , är han synnerligen njutbar att läsa ."
"cynisk","neg",-2,,,"av","0.25","cynisk..av.1",3845,3847,"Samtidigt menar hon att det är dags att börja diskutera problematiken utan att bli betraktad som cynisk : – Vi är duktiga på att tycka synd om människor i Sverige ."
"human","pos",2,"human..1","['human']","av","0.5","human..av.1",5879,6071,"Vi skall ha en human flyktingpolitik ."
"bussig","pos",2,,,"av","0.25","bussig..av.1",475,476,"Du kan väl vara bussig att börja ?"
"fullviktig","pos",2,"fullviktig..2","['fullviktig']","av","0.5","fullviktig..av.1",7,8,"Siv Arb skrev en anspråkslös men fullviktig samling dikter och prosa som hette "" Växelbruk "" ."
"grinig","neg",-2,"grinig..1","['grinig']","av","0.5","grinig..av.1",2394,2398,"Att filmens huvudperson är en grinig 78-årig änkling har fått finansanalytiker och leksakshandlare att surna till eftersom de misstänker att änklingen Carl Frederiksen knappast är nån ny Buzz Lightyear och att barnen hellre köper Transformers ."
"flabbig","pos",2,"flabbig..1","['flabbig']","av","0.5","flabbig..av.1",25,25,"Bred , flabbig , oxiderad smak utan finess - har man försökt göra Krug på snabbsats ?"
"snarfager","pos",2,"snarfager..1","['snarfager']","av","0.75","snarfager..av.1",14,14,"Jag förbannade försynen som inte hade gjort mig snarfager ."
"skitkul","pos",3,"skitkul..1","['skitkul']","av","0.5","skitkul..av.1",1677,1678,"Men det är skitkul att åka ut och spela , så när tillfälle ges är det bara att orka ."
"konservativ","pos",2,,,"av","0.25","konservativ..av.1",21672,21722,"En eftergift till den konst Botero avskyr , den som vill problematisera samtiden , eller ett argument mot alla dem som ser Boteros konst som hopplöst konservativ och bakåtsträvande ?"
"finalklar","pos",2,"finalklar..1","['finalklar']","av","0.5","finalklar..av.1",293,293,"Finland , Hanna LEAVE ME ALONE ( finalklar ) : En tjej som frontar ett hårdrocksband går hem ."
"obotad","neg",-2,"obotad..1","['obotad']","av","0.75","obotad..av.1",6,6,"Svenska sjukan ännu obotad"
"oskön","neg",-2,"oskön..1","['oskön']","av","0.5","oskön..av.1",364,365,"Felet är att vi - och nu menar jag politiker och opinionsbildare i oskön förening - har förvrängt perspektivet på våra sociala trygghetssystem ."
"skära sig","neg",-2,"skära_sig..2","['skära sig']","vbm","0.5","skära_sig..vbm.1",2336,"None","['ytterlig..av.1', 'en..al.1', 'flicka..nn.1', 'skära_sig..vbm.1', 'i..pp.1', 'arm..nn.1', 'så..ab.1', 'allvarlig..av.1', 'att..sn.1', 'hon..pn.1', 'behöva..vb.1', 'akut..av.1', 'sjukhusvård..nn.1', '.\n']"
"harmonisk","pos",2,"harmonisk..1","['harmonisk']","av","0.5","harmonisk..av.1",4282,4317,"I förra veckan träffade GP en harmonisk Alhaji Jeng som inte lät sig bekommas av en överansträngd lårmuskel ."
"stämma","pos",2,"stämma..1","['stämma']","vb","0.75","stämma..vb.1",59125,80353,"Det slog en federal domstol i Kalifornien fast på tisdagen.Alvarez-Machain har därför rätt att stämma regeringen , säger domstolen.Agenter från den federala myndigheten för bekämpning av narkotika ( DEA ) kidnappade den mexikanska läkaren för att ställa honom inför rätta för ett mord fem år tidigare ."
"flyhänt","pos",2,,,"av","0.25","flyhänt..av.1",319,319,"Nämligen att smälta samman countryinfluenser med flyhänt soul och slick , slimmad västkustpop ."
"vifta på svansen","pos",2,"vifta_på_svansen..1","['vifta på svansen']","vbm","1.0","vifta_på_svansen..vbm.1",138,"None","['hon..pn.1', 'komma..vb.1', 'till..pp.1', 'dörr..nn.1', 'och..kn.1', 'vifta_på_svansen..vbm.1', 'när..ab.1', 'jag..pn.1', 'komma_hem..vbm.1', 'och..kn.1', 'följa..vb.1', 'sedan..ab.1', 'intresserad..av.1|intressera..vb.1', 'varje', 'steg..nn.1', 'jag..pn.1', 'ta..vb.1', '.\n']"
"vred","neg",-2,"vred..1","['vred']","av","0.5","vred..av.1",33,145,"Att det krävdes god finmotorik för att kunna hantera vred och knappar på köksutrustningen ."
"tro","pos",2,"tro..1","['tro']","vb","0.5","tro..vb.1",626460,656040,"Men ofta låter det underligt tamt , uppgivet nästan , som om de inte riktigt vågat tro på sina egna låtar utan mest hafsat till dem för att få det gjort ."
"bemannad","pos",2,,,"av","0.25","bemannad..av.1",62,2470,"Gp.se satsar stort på egna nyheter och ökad sportbevakning , redaktionen är bemannad kl 06-01 , startsidan är omgjord och mer överskådlig ."
"toppenbra","pos",3,"toppenbra..1","['toppenbra']","av","1.0","toppenbra..av.1",391,391,"Även efter att ha haft keps på ett tag håller frisyren toppenbra ."
"oblid","neg",-2,"oblid..1","['oblid']","av","0.5","oblid..av.1",87,175,"Sedan dess har kyrkan ändrat sin syn på frånskilda , men i fråga om otrohet är man fortsatt oblid ."
"provokativ","neg",-2,,,"av","0.25","provokativ..av.1",1755,1758,"Han var en provokativ filosofisk stjärna .. Förr i tiden kunde man dela in filosofer i detaljgranskare och systembyggare ."
"trång","neg",-2,,,"av","0.25","trång..av.1",14725,14884,"Mittzonen såg ovanligt trång ut i Scandinavium i går ."
"förorena","neg",-2,"förorena..1","['förorena']","vb","0.5","förorena..vb.1",4677,4784,"Ett tag hade det befarats att skum skulle kunna förorena dricksvattnet i trakten ."
"fräsch","pos",2,"fräsch..1","['fräsch']","av","0.5","fräsch..av.1",12208,12214,"Rough Guides har gjort ytterligare en fräsch guide till Barcelona ."
"allmän","pos",2,,,"av","0.25","allmän..av.1",132497,153210,"I övrigt har skepsisen , ja rena motståndet härskat och ingått en ohelig allians med en allmän misstro mot politiker och dom som bestämmer ."
"straffa","neg",-2,"straffa..1","['straffa']","vb","1.0","straffa..vb.1",12198,14019,"Sätta upp stramare regler , utan att straffa och verkligen försöka få dem att förstå ."
"kortsiktig","neg",-2,,,"av","0.25","kortsiktig..av.1",7174,7709,"Det är via Per Carlén , som har förflutet i Granollers , som den förre Skövde- och Alingsåsmålvakten nu får en unik proffschans om än bara kortsiktig ."
"tidstrogen","pos",2,"tidstrogen..1","['tidstrogen']","av","0.75","tidstrogen..av.1",344,344,"Bandet spelar en tidstrogen glad New Orleansmusik ."
"oseriös","pos",2,,,"av","0.25","oseriös..av.1",3539,3545,"Carl Bildt låter via medarbetare hälsa att han betraktar kritiken som "" osaklig och oseriös "" ."
"vända","pos",2,,,"vb","0.25","vända..vb.2",2103,117475,"Mot syds 6NT startade väst med en ruter till östs kung och spadernio kom i vända ."
"rejäl","pos",2,"rejäl..1","['rejäl']","av","0.5","rejäl..av.1",59061,59111,"Och Sverige har gjort en rejäl framryckning oavsett vilket ­index man mäter med ."
"artrik","pos",2,,,"av","0.25","artrik..av.1",583,603,"Bottenundersökningarna tyder på att faunan är artrik och pekar på mycket bra miljöförhållanden ."
"melankolisk","neg",-2,,,"av","0.25","melankolisk..av.1",1857,1857,"Den är bräcklig och lite melankolisk , men det avvägs mot kraften i melodierna , tvärvändningarna i tempot och det alldeles lysande orgelsolot i Greekerna ."
"ge sig av","pos",2,,,"vbm","0.25","ge_sig_av..vbm.1",2346,"None","['en..al.1', 'fem..nl.1', 'ungdom..nn.1', ',', 'fyra..nl.1', 'flicka..nn.1', 'och..kn.1', 'en..al.1', 'pojke..nn.1', ',', 'åtala..vb.1', 'också..ab.1', 'för..pp.1', 'ohörsamhet..nn.1', 'mot..pp.1', 'ordningsmarkten', 'eftersom..sn.1', 'de..pn.1', 'inte..ab.1', 'lyda..vb.1', 'polis..nn.2|polis..nn.1', 'uppmaning..nn.1', 'om..pp.1', 'att..sn.1', 'ge_sig_av..vbm.1', 'från..pp.1', 'plats..nn.1', '.\n']"
"oppvakta","pos",2,"uppvakta..1","['oppvakta', 'uppvakta']","vb","0.5","uppvakta..vb.1",5839,2,"['Göteborg..pm.1', 'uppvakta..vb.1', 'inte..ab.1', 'Björklund..pm.1\n']"
"känna","pos",2,,,"vb","0.25","känna..vb.1",295696,836395,"Det är något som polisen har sagt sig inte känna till ."
"optimera","pos",2,"optimera..1","['optimera']","vb","0.5","optimera..vb.1",1743,1792,"De något suboptimala teledermatologiska konsultationerna under 1999 skapade ett behov av att optimera konsultationsformen ."
"hyvens","pos",2,"hyvens..1","['hyvens']","av","0.5","hyvens..av.1",127,127,"Om Forsberg tog sig tid med att besöka och fråga de "" våldsbenägna barnen "" om vad de anser om hans inställning , så skulle han förvisso få klara besked om vilken hyvens kille han är ."
"bedrövlig","neg",-2,"bedrövlig..1","['bedrövlig']","av","0.5","bedrövlig..av.1",4089,4089,"Nedmonteringen är bedrövlig ."
"berömma","pos",2,"berömma..1","['berömma']","vb","1.0","berömma..vb.1",5935,26100,"Göran Persson försatte heller inte tillfället att berömma sina egna insatser under saneringsåren , att peka på den erfarenhet som regeringen besitter och att tala utrikes- och säkerhetspolitik ."
"tvätta av","pos",2,"tvätta_av..1","['tvätta av']","vbm","0.5","tvätta_av..vbm.1",226,"None","['tvätta_av..vbm.1', 'lätt..av.1', 'med..pp.1', 'makeuprengöring', '/', 'peeling..nn.1', '.\n']"
"mygla","pos",2,"mygla..1","['mygla']","vb","0.75","mygla..vb.1",253,253,"Det hävdar Statens fastighetsverk - men boende på Strandvägen 57 jublar.- Man tycks på fullt allvar tro att man kan mygla sig förbi svensk lag , säger affärsmannen Peter Arph och pekar på det gula , tornförsedda huset i Nobelparken.- Där inne fortsätter arbetet med ombyggnaden med oförminskad arbetsinsats , men det kallas för underhållsarbete ."
"uschlig","neg",-2,"uschlig..1","['uschlig', 'uslig']","av","0.75","uslig..av.1",13,45,"Superkymig och uschlig ."
"lättvunnen","pos",2,"lättvunnen..1","['lättvunnen']","av","0.5","lättvunnen..av.1",57,57,"Denna ställning hade inte varit lättvunnen för DF ."
"gälda","pos",2,,,"vb","0.25","gälda..vb.1",842,868,"IMF:s belägenhet är i dag så ömklig att om Turkiet och Indonesien gör allvar av sina planer på att gälda sin skuld så får man slå igen butiken ."
"ta till nåder","pos",2,"ta_till_nåder..1","['ta till nåder']","vbm","0.5","ta_till_nåder..vbm.1",21207,"None","['han..pn.1', 'måste..vb.1', 'nu..ab.1', 'för_en_tid..abm.1', 'lämna..vb.1', 'hov..nn.2', ',', 'men..kn.1', 'ta_till_nåder..vbm.1', 'snart..ab.1|snar..av.1', 'ånyo..ab.1', 'såsom', 'oumbärlig..av.1', 'vid..pp.1', 'förhandling..nn.1', 'med..pp.1', 'England..pm.1', '.\n']"
"vänta","neg",-2,,,"vb","0.25","vänta..vb.1",277400,305336,"Och det väcker aggressivitet hos dem som fått vänta ."
"på bättringsväg","pos",2,"på_bättringsvägen..1","['på bättringsväg', 'på bättringsvägen']","avm","0.75","på_bättringsvägen..avm.1",647,"None","['han..pn.1', 'kunna..vb.1', 'dock..ab.1', 'glädjas..vb.1|glädja..vb.1', 'åt..pp.1', 'att..sn.1', 'skada..vb.1', 'Dragan', 'Umicevic', 'vara..vb.1', 'på_bättringsvägen..avm.1', ',', 'ingen..pn.1', 'vara..vb.1', 'trasig..av.1', 'i..pp.1', 'knä..nn.1', 'visa..vb.1', 'tisdag..nn.1', 'läkarundersökning..nn.1', '.\n']"
"infiltrera","neg",-2,,,"vb","0.25","infiltrera..vb.1",1419,1428,"Indien har tidigare vägrat att sätta sig vid förhandlingsbordet så länge islamistiska rebeller - som Indien påstår stöds av Pakistan - med baser i Pakistan fortsätter att infiltrera den indiska delen av Kashmir ."
"vederfås","pos",2,"vederfås..1","['vederfås']","vb","0.75","vederfås..vb.1",0,"None",
"ohederlig","neg",-2,"ohederlig..1","['ohederlig']","av","0.5","ohederlig..av.1",780,793,"Jutterström var mycket irriterad och ansåg att redaktionen var ohederlig ."
"imponerbar","pos",2,"imponerbar..1","['imponerbar']","av","0.75","imponerbar..av.1",0,"None",
"lämpligen","pos",2,"lämpligen..1","['lämpligen']","ab","0.75","lämpligen..ab.1",4373,4953,"Men hans strid för att hävda det bör lämpligen föras utanför presidentkansliet , framhöll hon ."
"sympatisk","pos",2,,,"av","0.25","sympatisk..av.1",4598,4603,"Första gången Rolf Lassgård träffade Kurt Wallander tyckte han att det var en sympatisk prick ."
"leva upp","pos",2,,,"vbm","0.25","leva_upp..vbm.1",11576,"None","['post..nn.2|post..nn.1', 'måste..vb.1', 'leva_upp..vbm.1', 'till..pp.1', 'sig..pn.1', 'uppdrag..nn.1\n']"
"missnöjd","neg",-2,"missnöjd..1","['missnöjd']","av","0.75","missnöjd..av.1",12646,12747,"Även om David inte nådde ändra fram kan han inte vara missnöjd med insatsen ."
"olagad","neg",-2,"olagad..1","['olagad']","av","0.5","olagad..av.1",14,14,"['*', 'Urk', ',', 'jag..pn.1', 'ångra..vb.1', 'att..sn.1', 'jag..pn.1', 'gama..vb.1', 'i..pp.1', 'jag..pn.1', '…', 'nu..ab.1', 'vara..vb.1', 'man..pn.1', 'sådär..ab.1', 'äckelmätt', 'framför..pp.1', 'burk..nn.1', 'och..kn.1', 'läsa..vb.1', 'om..pp.1', 'en..al.1', 'ny..av.1', 'trend..nn.1', 'på..pp.1', 'Alltombarn', 'som', 'vara..vb.1', 'på..pp.1', 'uppåtgående..av.1', '..', 'mat..nn.1', 'leverera..vb.1', 'till..pp.1', 'dörr..nn.1', '–', 'olagad..av.1', '.\n']"
"linjeren","pos",2,"linjeren..1","['linjeren']","av","0.25","linjeren..av.1",19,19,"Hans konstnärliga verksamhet resulterade i flera arbeten med motiv ur Kalevala – utformade i linjeren nyklassicism ."
"samstämmig","pos",2,"samstämmig..1","['samstämmig']","av","0.5","samstämmig..av.1",2123,2209,"Smärtutbredningen i huvudsak samstämmig med kliniska fynd ."
"dugande","pos",2,"dugande..1","['dugande']","av","0.75","dugande..av.1",0,91,"Han stod på bryggan och kände sig vuxen och dugande när kuttrarna lade till , allt luktade sill och olja , han absorberade sol , blev stark , och badade och fick en salttovig frisyr ."
"utsvulten","neg",-2,,,"av","0.25","utsvulten..av.1",406,404,"Mitt i natten plockar tre vuxna män upp en utmattad , utsvulten 15-årig flicka som sitter på en bänk och gråter ."
"hypermodern","pos",2,,,"av","0.25","hypermodern..av.1",346,346,"I en hypermodern fabrik syr de upp kläder till Hennes & Mauritz , Kenzo , Levis och Dockers ."
"aidssjuk","neg",-2,"aidssjuk..1","['aidssjuk']","av","1.0","aidssjuk..av.1",357,357,"Detta trots att han till och med var med och skötte en svårt aidssjuk vän ."
"bepryda","pos",2,"bepryda..1","['bepryda']","vb","0.5","bepryda..vb.1",25,25,"['Som', 'jag..pn.1', 'skriva..vb.1', 'i..pp.1', 'jag..pn.1', 'inledning..nn.1', 'vara..vb.1', 'vägg..nn.1', 'bakom..pp.1', 'sprätthök..nn.1', 'bepryda..vb.1', 'av..pp.1', 'spegel..nn.1', ',', 'två..nl.1', 'till..pp.1', 'antal..nn.1', 'för..pp.1', 'att..sn.1', 'vara..vb.2|vara..vb.1', 'mycket..ab.1|mer..ab.1', 'exakt..av.1', '.\n']"
"banbrytande","pos",2,,,"av","0.25","banbrytande..av.1",2998,3011,"Årets vinnare anses ha ägnat sig åt banbrytande forskning om vad som gör att människor begår brott och hur det kan motverkas ."
"godlynt","pos",2,"godlynt..1","['godlynt']","av","0.5","godlynt..av.1",38,38,"Stor , bullrande och godlynt , som det förefaller , och med mild patriarkalisk nit höll han i gång en väldig mottagning innan han blev klinikchef vid Serafimerlasarettet ."
"orolig","neg",-2,,,"av","0.25","orolig..av.1",47584,47669,"Jag är dock inte särskilt orolig för att svenska högskolor skulle förlora sig i sådana falsarier ."
"piggelin","pos",2,"piggelin..1","['piggelin']","av","0.75","piggelin..av.1",221,221,"Karlsson : "" Ström såg piggelin ut """
"supa","pos",2,,,"vb","0.25","supa..vb.1",16867,17025,"Och vill kidsen supa ... tja , inte går de till just den här kalasplatsen ."
"jublande","pos",2,"jublande..1","['jublande']","av","0.75","jublande..av.1",0,2062,"Grannarna mittemot , en amerikansk familj , kom jublande ner efter en stund och därefter rasslade en efter en av gårdens befolkning ner och firade nåt med gin och tonic ."
"kall","pos",2,,,"av","0.25","kall..av.1",45428,52428,"Vi är bättre rustade att klara en kall vinter i år jämfört med förra året ."
"självsäker","pos",2,,,"av","0.25","självsäker..av.1",2614,2618,"Hon låter mycket självsäker och konstaterade nu att fler och fler övertygas om det kloka i att bygga ett företag som skulle bli en medtävlare att räkna med för bolag som Dell , Sun och IBM ."
"utmärkt","pos",2,"utmärkt..1","['utmärkt']","av","1.0","utmärkt..av.1",8501,33091,"I kylen fanns en burk med krämig pepparmix och den passade utmärkt som smaksättare ."
"osorterad","neg",-2,,,"av","0.25","osorterad..av.1",434,447,"Staplade i en osorterad hög på en pall bredvid ligger flera bilder ."
"allvarligen","neg",-2,"allvarligen..1","['allvarligen']","ab","0.5","allvarligen..ab.1",10,10,"Utan inte hänge sig [ åt sjukdom ] och börja undersöka , såvida det icke är allvarligen befogat och det är så dags att veta ."
"förträfflig","pos",2,"förträfflig..1","['förträfflig']","av","1.0","förträfflig..av.1",2111,2113,"Mekaniken är standard Volkswagen T5 , en förträfflig representant för modernt transportbilsbyggande : lättkörd , mjukfjädrande , exakt i styrning och pigg med den stora motorn ."
"passa ihop","pos",2,"passa_ihop..1","['passa ihop']","vbm","0.5","passa_ihop..vbm.1",0,"None",
"begränsad","neg",-2,,,"av","0.25","begränsad..av.1",38,48780,"Trots detta har barns möjligheter att få tillgång till säkra läkemedel varit starkt begränsad ."
"bottendålig","neg",-3,"bottendålig..1","['bottendålig']","av","1.0","bottendålig..av.1",5,5,"Teemu är som en vulkan efter en bottendålig säsong i San Jose ."
"konststoppa","pos",2,"konststoppa..1","['konststoppa']","vb","0.5","konststoppa..vb.1",0,"None",
"långtidssjuk","neg",-2,"långtidssjuk..1","['långtidssjuk']","av","1.0","långtidssjuk..av.1",698,743,"Klarar hushållen av om någon i familjen blir arbetslös eller långtidssjuk , undrar exempelvis Annika Creutzer på Skandiabanken ."
"korrigera","pos",2,"korrigera..1","['korrigera']","vb","0.5","korrigera..vb.1",4564,4742,"Greenspan sade sig inte vara orolig för det stora underskottet i USA:s bytesbalans , och hävdade att marknaden själv är kapabel att korrigera obal ..."
"oförtjänad","neg",-2,"oförtjänad..1","['oförtjänad']","av","0.5","oförtjänad..av.1",8,8,"I citatet ifrågasätts inte den egna skrivförmågan , däremot antyds en konspirationsteori : ” kamraternas ” pågående taktiska omorientering gjorde att de ville vara oppositionen till lags , och drev en oförtjänad hård linje mot honom ."
"småtråkig","neg",-2,"småtråkig..1","['småtråkig']","av","0.5","småtråkig..av.1",176,176,"Till hälften helt lysande , till hälften småtråkig ."
"le i mjugg","pos",2,"le_i_mjugg..1","['le i mjugg']","vbm","0.75","le_i_mjugg..vbm.1",79,"None","['vråla..vb.1', 'Gunnar..pm.1', 'när..ab.1', 'han..pn.1', 'Herren..pm.1', 'ord..nn.1', 'förkunna..vb.1', 'Självmordsbombar', 'stad..nn.1', 'med..pp.1', 'smör..nn.1', 'Svenska', 'Kyrkans', 'desertör..nn.1', 'Gud..pm.1', 'i..pp.1', 'rullstol..nn.1', 'le_i_mjugg..vbm.1', 'bönestund..nn.1', 'med..pp.1', 'sill..nn.1', 'i..pp.1', 'mugg..nn.2|mugg..nn.1\n']"
"samla","pos",2,,,"vb","0.25","samla..vb.2",0,121089,"- Vi håller just nu på att samla in diverse intyg , bland annat hur de två mår efter fängelsevistelsen , säger pappans advokat Thomas Olsson till TT ."
"funktionshindrad","neg",-2,,,"av","0.25","funktionshindrad..av.1",6038,6214,"Mölndals kommun har avslagit begäran om skolskjuts för en funktionshindrad åttaårig Lindomeflicka ."
"ofullkomlig","neg",-2,"ofullkomlig..1","['ofullkomlig']","av","0.75","ofullkomlig..av.1",324,335,"För kruxet är måhända att förstå att Mamma med stort M , även om hon varit ofullkomlig , inte är odödlig ."
"långsiktig","pos",2,,,"av","0.25","långsiktig..av.1",28382,31212,"Ett annat skäl är att kvartalshetsen på börsen pressar fram kortsiktigt lönsamhetstänkande i en bransch som mår bäst av långsiktig utveckling ."
"avfyra","pos",2,,,"vb","0.25","avfyra..vb.1",4408,4408,"De står på larvfötter och är beväpnade med amerikanska arméns standard-automatvapen som kan avfyra 300-350 skott i minuten ."
"inflammatorisk","neg",-2,,,"av","0.25","inflammatorisk..av.1",1807,1812,"Frågan om ett eventuellt samband mellan mässlingsvaccination och autism och kronisk inflammatorisk tarmsjukdom väcktes 1998 ."
"obotbar","pos",2,"obotbar..1","['obotbar']","av","0.5","obotbar..av.1",15,31,"I den testade gruppen påträffades 61 fall av obotbar cancer , jämfört med 176 fall i kontrollgruppen på 10 000 män ."
"obetalbar","pos",2,"obetalbar..1","['obetalbar']","av","0.5","obetalbar..av.1",366,366,"Helen Hanssons tantmyra är en obetalbar studie i strävsamhet , även om den ibland träffar oss vuxna mer än lågstadiebarnen ."
"välmående","pos",2,"välmående..1","['välmående']","av","1.0","välmående..av.1",3437,3444,"De tio mest välmående länderna är 2005 : De tio värst utsatta länderna är : Källa : HDI 2005"
"komma tillbaka","neg",-2,,,"vbm","0.25","komma_tillbaka..vbm.1",43926,"None","['flickvän..nn.1', 'komma_tillbaka..vbm.1', 'mitt_i..ppm.1', 'natt..nn.1', '.\n']"
"välbeställd","pos",2,,,"av","0.25","välbeställd..av.1",1612,1618,"Den typiske moderaten är numera en välbeställd man över 65 ."
"klara sig","pos",2,,,"vbm","0.25","klara_sig..vbm.1",46402,"None","['jag..pn.1', 'klara_sig..vbm.1', 'rätt..av.1|rätt..ab.1', 'bra..av.1|bra..ab.2|bra..ab.1', 'men..kn.1', 'men..kn.1', 'min..nn.1', 'bli..vb.1', 'förra..av.1', 'gång..nn.3|gång..nn.2|gång..nn.1', 'väldig..av.1', 'dålig..av.1', 'behandla..vb.1', 'av..pp.1', 'sig..pn.1', 'chef..nn.1', 'för..pp.1', 'att..sn.1', 'de..pn.1', 'tidig..av.1', 'veta..vb.1', 'att..sn.1', 'han..pn.1', 'skola..vb.2', 'vara..vb.2|vara..vb.1', 'pappaledig..av.1', '(', 'och..kn.1', 'då..ab.2|då..ab.1', 'vara..vb.1', 'ändå..ab.1', 'jag..pn.1', 'ledig..av.1', 'först..ab.1', 'när..ab.1', 'vi..pn.1', 'komma_hem..vbm.1', ')', '.\n']"
"tjusig","pos",2,"tjusig..1","['tjusig']","av","0.75","tjusig..av.1",3184,3187,"Tyson fick således instruktioner , ett helt film-team över sig i en väldigt stor roll , en ny tjusig blond mamma , från statistgänget , som hon genast började kalla "" mamma "" ."
"flabba","pos",2,"flabba..1","['flabba']","vb","0.75","flabba..vb.1",118,118,"Högst på denna meny står inte diskbänksrealism , som Arnold Wesker en gång blev känd ( och senare hånad ) för , snarare en komik light att flabba lite åt från sidan ."
"fin","pos",2,"fin..2","['fin']","av","1.0","fin..av.1",168691,170736,"Mycket fin för dagen ."
